,Unnamed: 0,p1_tag,p1_trophy,p1_card_0_id,p1_card_0_lv,p1_card_1_id,p1_card_1_lv,p1_card_2_id,p1_card_2_lv,p1_card_3_id,p1_card_3_lv,p1_card_4_id,p1_card_4_lv,p1_card_5_id,p1_card_5_lv,p1_card_6_id,p1_card_6_lv,p1_card_7_id,p1_card_7_lv,p1_crowns,p2_tag,p2_trophy,p2_card_0_id,p2_card_0_lv,p2_card_1_id,p2_card_1_lv,p2_card_2_id,p2_card_2_lv,p2_card_3_id,p2_card_3_lv,p2_card_4_id,p2_card_4_lv,p2_card_5_id,p2_card_5_lv,p2_card_6_id,p2_card_6_lv,p2_card_7_id,p2_card_7_lv,p2_crowns,winner
12,12,#892CRJU9,6850,26000040,12,26000012,9,27000013,9,28000011,6,27000003,12,26000058,9,26000069,4,28000000,12,1,#2RVPCGRCY,6873,26000030,14,28000011,6,26000041,14,27000003,12,28000003,12,28000004,9,26000000,14,26000026,6,0,1
13,13,#892CRJU9,6820,26000040,12,26000012,9,27000013,9,28000011,6,27000003,12,26000058,9,26000069,4,28000000,12,1,#UR2P9L0Y,6821,26000009,9,27000007,12,28000012,9,26000035,6,26000080,14,28000015,9,26000027,9,26000063,9,0,1
14,14,#892CRJU9,6790,26000040,12,26000012,9,27000013,9,28000011,6,27000003,12,26000058,9,26000069,4,28000000,12,1,#J0VQ0G89,6793,26000039,12,26000012,9,26000001,14,28000010,6,28000001,14,27000003,11,26000003,12,28000011,6,0,1
15,15,#20PR8YPRV,6873,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,2,#9L980QPC8,6855,26000055,6,28000001,14,26000042,6,26000014,12,27000012,12,26000046,6,26000027,9,26000021,12,1,1
16,16,#20PR8YPRV,6841,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,1,#8CQ9UGCLQ,6867,28000004,9,26000074,3,26000040,12,28000011,6,26000056,14,26000012,9,28000018,14,27000003,12,0,1
17,17,#20PR8YPRV,6868,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#CUJCLUV,6895,26000038,12,26000043,14,26000074,4,26000050,6,26000028,12,28000016,12,28000015,9,27000007,12,1,2
18,18,#20PR8YPRV,6844,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,1,#290CVUC9,6778,26000032,6,28000009,9,26000049,14,26000058,9,26000044,9,28000011,6,26000010,14,26000046,6,0,1
19,19,#20PR8YPRV,6816,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,2,#2UJUGR8UJ,6793,26000003,12,26000006,9,26000035,6,26000037,6,26000022,14,26000041,14,26000012,9,28000001,14,1,1
20,20,#20PR8YPRV,6788,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,1,#Q9998CPP9,6769,26000034,9,26000035,5,28000012,9,26000063,9,28000015,9,26000037,6,26000006,9,28000005,9,0,1
21,21,#20PR8YPRV,6765,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,3,#9VCVLV8Y8,6691,26000025,9,26000054,9,26000022,14,27000002,14,26000019,14,28000000,12,26000032,6,28000011,6,1,1
22,22,#20PR8YPRV,6792,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#29Q9GQ0U9,6817,26000015,9,28000012,9,27000005,12,26000063,9,26000067,12,26000068,12,28000006,9,28000002,9,1,2
23,23,#20PR8YPRV,6820,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#8CQ9UGCLQ,6832,26000016,9,28000004,9,26000025,9,26000053,14,26000040,12,26000026,6,28000011,6,28000003,12,1,2
24,24,#20PR8YPRV,6844,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#8U80L9R9U,6914,26000037,6,26000035,6,28000015,9,28000012,9,26000015,9,26000006,9,28000005,9,26000034,9,3,2
25,25,#20PR8YPRV,6878,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#2UJUGR8UJ,6823,26000003,12,26000006,9,26000035,6,26000037,6,26000022,14,26000041,14,26000012,9,28000001,14,3,2
26,26,#20PR8YPRV,6849,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,1,#22RPLGGJ9,6843,26000011,12,26000025,9,28000004,9,26000026,6,26000084,14,28000011,6,28000003,12,27000003,12,0,1
27,27,#20PR8YPRV,6823,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,3,#PY0QVV2L,6781,26000029,6,26000037,6,28000006,9,26000006,9,28000005,9,26000012,9,26000022,14,28000001,14,1,1
28,28,#20PR8YPRV,6797,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,1,#820PU8Y22,6757,28000016,12,26000038,12,26000043,14,26000028,12,26000050,6,26000074,4,28000015,9,27000007,12,0,1
29,29,#20PR8YPRV,6829,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#8QYQRQPRL,6804,26000059,12,27000001,12,26000037,6,26000049,14,28000000,12,28000001,14,26000025,9,26000055,6,3,2
30,30,#20PR8YPRV,6859,28000015,9,28000012,9,28000007,9,26000069,4,26000015,9,27000009,12,26000048,6,26000009,9,0,#2V9PL2RY0,6857,26000046,6,26000054,9,26000031,14,27000013,9,28000000,12,28000011,6,26000010,14,26000044,9,1,2
31,31,#20PR8YPRV,7181,27000009,12,26000015,9,28000015,9,28000007,9,28000012,9,26000009,9,26000069,4,26000048,6,2,#20YQC2RG8,7213,26000003,12,26000012,9,26000027,9,26000072,4,28000017,14,26000005,14,28000010,6,28000001,14,1,1
32,32,#20PR8YPRV,7153,27000009,12,26000015,9,28000015,9,28000007,9,28000012,9,26000009,9,26000069,4,26000048,6,3,#20GJ8VGV,7132,26000074,4,26000054,9,26000084,14,26000056,14,28000003,12,28000006,9,26000014,12,28000011,6,1,1
33,33,#20PR8YPRV,7122,27000009,12,26000015,9,28000015,9,28000007,9,28000012,9,26000009,9,26000069,4,26000048,6,1,#L028280CV,7137,26000060,9,26000033,6,26000018,12,26000027,9,28000016,12,26000042,6,28000008,14,28000002,9,0,1
34,34,#L0RJ8YLG,6896,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,0,#8UPJLYRGC,6820,26000050,6,26000044,9,26000059,12,26000028,12,28000016,12,26000038,12,26000074,4,28000015,9,1,2
35,35,#L0RJ8YLG,6931,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,0,#22JUVYG0Q,6872,28000010,6,26000008,14,26000014,12,26000069,4,28000015,9,27000001,12,27000002,14,28000001,14,1,2
36,36,#L0RJ8YLG,6902,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,1,#8CQ9UGCLQ,6895,26000059,12,26000010,14,26000072,4,26000031,14,27000000,14,28000018,14,28000011,6,28000014,12,0,1
37,37,#L0RJ8YLG,6872,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,1,#28YP9JV8,6876,26000038,12,26000014,12,28000015,9,27000004,12,28000017,14,26000006,9,26000010,14,26000032,6,0,1
38,38,#L0RJ8YLG,6902,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,0,#P8Y80P2QC,6902,26000009,9,28000007,9,26000054,9,26000074,4,26000039,12,26000015,9,28000015,9,28000012,9,1,2
39,39,#L0RJ8YLG,6872,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,3,#P8RRJV00Y,6882,26000011,12,26000030,14,27000006,14,28000003,12,28000004,9,26000025,9,26000026,6,28000011,6,0,1
40,40,#L0RJ8YLG,6838,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,2,#2QQQJCP9V,6885,26000029,6,26000049,14,26000057,12,28000000,12,26000015,9,28000013,9,26000012,9,26000035,6,1,1
41,41,#L0RJ8YLG,6870,28000004,9,28000011,6,27000006,14,26000010,14,26000031,14,26000040,12,28000000,12,26000000,14,1,#92CL822V,6845,26000067,12,26000068,12,26000037,6,26000063,9,26000043,14,28000016,12,28000002,9,28000001,14,2,2
42,42,#L0RJ8YLG,6897,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,0,#8UG0R0V8,6922,28000010,6,26000069,4,28000015,9,26000023,6,27000009,12,28000012,9,28000009,9,26000015,9,1,2
43,43,#L0RJ8YLG,6925,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,0,#9CCY28Y82,6944,26000072,4,26000059,12,26000010,14,28000014,12,28000011,6,27000000,14,28000018,14,26000031,14,1,2
44,44,#L0RJ8YLG,6901,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,1,#8GP2VV90,6840,26000049,14,26000032,6,27000002,14,26000014,12,28000009,9,26000012,9,26000069,4,28000011,6,0,1
45,45,#L0RJ8YLG,6926,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,0,#888YPUG9,6976,27000002,14,26000031,14,26000049,14,28000009,9,26000074,4,28000011,6,26000032,6,26000014,12,1,2
46,46,#L0RJ8YLG,6945,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,0,#2LGVLLYC,7073,26000003,12,26000022,14,26000032,6,28000008,14,26000005,14,28000000,12,26000048,6,28000011,6,2,2
47,47,#L0RJ8YLG,6917,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,1,#QJ9GRRVLJ,6896,26000015,9,28000015,9,28000005,9,26000006,9,26000037,6,26000035,6,28000012,9,26000034,9,0,1
48,48,#L0RJ8YLG,6888,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,1,#2R89VQ0V2,6884,26000021,12,26000030,14,26000074,4,28000009,9,27000000,14,26000014,12,28000011,6,26000010,14,0,1
49,49,#L0RJ8YLG,6917,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,0,#80PJPGYG9,6926,26000025,9,28000003,12,26000084,14,28000004,9,26000011,12,26000026,6,28000011,6,27000006,14,1,2
50,50,#L0RJ8YLG,6883,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000000,12,26000074,4,1,#LLG2JGY9,6931,26000040,12,26000012,9,27000013,9,28000011,6,27000003,12,26000058,9,26000069,4,28000000,12,0,1
51,51,#L0RJ8YLG,6907,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000003,12,26000074,4,0,#UPC2UQG0,6973,26000009,9,26000069,4,26000052,12,27000007,12,28000007,9,26000048,6,26000012,9,28000001,14,3,2
52,52,#L0RJ8YLG,6937,28000004,9,28000011,6,27000006,14,26000025,9,26000084,14,26000026,6,28000003,12,26000074,4,0,#YC202LCRC,6936,28000015,9,28000006,9,28000016,12,26000028,12,26000043,14,26000050,6,26000074,4,27000007,12,2,2
53,53,#L0RJ8YLG,6967,28000004,9,28000000,12,26000084,14,26000010,14,26000074,4,26000040,12,28000011,6,27000006,14,0,#L2YP2C9CP,6962,26000061,6,26000024,14,26000020,9,26000052,12,26000027,9,28000000,12,28000015,9,26000083,6,1,2
54,54,#L0RJ8YLG,6988,28000004,9,28000000,12,26000031,14,26000010,14,26000074,4,26000040,12,28000011,6,27000006,14,0,#LL92V0UQ0,7083,26000004,9,26000055,6,26000045,9,26000042,6,26000006,9,28000005,9,28000012,9,28000008,14,1,2
55,55,#L0RJ8YLG,7012,28000004,9,28000000,12,26000031,14,26000010,14,26000027,9,26000040,12,28000011,6,27000006,14,0,#2YVYU9UQ,7074,26000012,9,26000032,6,28000011,6,26000069,4,26000049,14,27000002,14,26000014,12,28000009,9,1,2
56,56,#L0RJ8YLG,7032,28000004,9,28000000,12,26000031,14,26000010,14,26000000,14,26000040,12,28000011,6,27000006,14,0,#2VG8GV9UV,7149,26000034,9,28000000,12,28000004,9,28000011,6,28000006,9,26000022,14,27000010,12,26000053,14,1,2
57,57,#L0RJ8YLG,7013,28000004,9,28000000,12,26000031,14,26000010,14,26000000,14,26000040,12,28000011,6,27000006,14,1,#2JU0JRLGR,6881,26000072,4,26000032,6,26000010,14,28000009,9,26000031,14,28000018,14,28000011,6,27000000,14,0,1
58,58,#L0RJ8YLG,7043,28000004,9,28000000,12,26000084,14,26000010,14,26000000,14,26000040,12,28000011,6,27000006,14,0,#98Q8LPQ9,7033,26000040,12,26000031,14,28000003,12,28000004,9,26000065,4,26000010,14,27000006,14,28000011,6,1,2
59,59,#82YRRQCQ0,6879,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#RJ88Y8U08,6953,26000072,4,28000000,12,28000011,6,26000032,6,27000002,14,26000011,12,26000010,14,26000031,14,1,2
60,60,#82YRRQCQ0,6908,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#LR0CVCYQ,6912,26000003,12,26000032,6,26000016,9,26000027,9,26000042,6,26000039,12,28000001,14,28000008,14,1,2
61,61,#82YRRQCQ0,6869,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#2CG0LV8Y8,6985,26000054,9,26000085,9,28000012,9,28000015,9,26000069,4,26000015,9,28000007,9,27000009,12,0,1
62,62,#82YRRQCQ0,6896,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#2LUY2Q98,6920,26000024,14,26000050,6,26000061,6,26000072,4,26000044,9,26000084,14,28000000,12,28000011,6,1,2
63,63,#82YRRQCQ0,6926,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#2YQJYY8P,6925,26000036,12,26000004,9,26000046,6,26000042,6,28000008,14,28000000,12,26000050,6,26000062,6,3,2
64,64,#82YRRQCQ0,6895,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#2UJ0RCCUQ,6918,26000029,6,26000015,9,26000012,9,26000006,9,26000005,14,28000008,14,28000000,12,27000009,12,0,1
65,65,#82YRRQCQ0,6920,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#2QL90Y8QL,6971,26000031,14,28000003,12,26000056,14,27000006,14,28000011,6,26000026,6,26000010,14,26000000,14,3,2
66,66,#82YRRQCQ0,6951,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#CLC98089P,6930,26000060,9,26000033,6,26000042,6,26000027,9,26000043,14,28000016,12,28000008,14,28000002,7,2,2
67,67,#82YRRQCQ0,6985,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#2YJRUQ2Q,6937,26000024,14,26000012,9,26000083,6,26000052,12,26000069,4,26000061,6,28000011,6,28000000,12,1,2
68,68,#82YRRQCQ0,7017,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#298JLLCYV,6992,27000003,12,27000013,9,26000040,12,26000012,9,26000031,14,26000058,9,26000069,4,28000000,12,1,2
69,69,#82YRRQCQ0,7055,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#P9R8CPCUG,6954,26000048,6,26000009,9,26000015,9,26000013,14,28000012,9,28000007,9,27000009,12,26000069,4,2,2
70,70,#82YRRQCQ0,7021,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#P0GR0Q8UP,7068,26000029,6,26000015,9,28000000,12,26000012,9,26000074,4,26000049,14,28000013,9,26000057,12,0,1
71,71,#82YRRQCQ0,6995,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,2,#8L2CLQY0U,6958,26000055,6,26000032,6,28000001,14,28000006,9,26000054,9,26000037,6,28000000,12,26000018,12,0,1
72,72,#82YRRQCQ0,6967,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#P9PCYVU0V,6948,26000009,9,26000069,4,28000010,6,26000012,9,26000048,6,26000037,6,28000008,14,28000001,14,0,1
73,73,#82YRRQCQ0,6938,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#9G2RL0VJ9,6930,26000004,9,26000036,12,28000008,14,28000000,12,26000050,6,26000046,6,26000042,6,26000062,6,0,1
74,74,#82YRRQCQ0,6907,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#8L29R29V8,6927,26000049,14,28000001,14,26000012,9,26000023,6,28000005,9,26000037,6,26000006,9,26000020,9,0,1
75,75,#82YRRQCQ0,6876,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#P9QCGR8VU,6895,28000015,9,28000017,14,26000035,6,26000030,14,26000014,12,26000038,12,26000006,9,26000049,14,0,1
76,76,#82YRRQCQ0,6851,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,1,#2VP88LC22,6793,26000028,12,26000036,12,26000032,6,27000007,12,26000022,14,26000025,9,26000038,12,28000008,14,0,1
77,77,#82YRRQCQ0,6879,28000008,14,26000022,14,27000003,12,26000026,6,26000025,9,26000032,6,28000004,9,26000012,9,0,#98YRR9QP,6893,26000003,12,26000022,14,26000032,6,28000008,14,26000005,14,28000000,12,26000048,6,28000011,6,1,2
78,78,#88Q0QPV0J,6637,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,3,#R8JUU2P9,6634,26000038,12,28000006,9,26000043,14,26000032,6,27000007,12,26000028,12,28000011,6,26000031,14,0,1
79,79,#88Q0QPV0J,6607,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,1,#22V002Q,6616,26000049,14,26000032,6,27000002,14,26000014,12,28000009,9,26000012,9,26000069,4,28000011,6,0,1
80,80,#88Q0QPV0J,6635,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,0,#29LC8CYCY,6652,26000026,6,26000027,9,28000017,14,28000004,9,26000053,14,26000046,6,28000003,12,26000054,9,1,2
81,81,#88Q0QPV0J,6602,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,1,#CR8YPUV,6640,27000013,9,27000000,14,26000031,14,26000010,14,28000011,6,28000000,12,26000065,4,26000058,9,0,1
82,82,#88Q0QPV0J,6571,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,3,#JPYR2C0L,6590,27000012,12,26000072,4,28000007,9,26000013,14,26000085,9,26000010,14,26000034,9,28000012,9,0,1
83,83,#88Q0QPV0J,6539,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,2,#9CJ0J9YGC,6573,26000084,14,26000010,14,28000017,14,28000015,9,26000049,14,26000026,6,26000035,6,26000006,9,1,1
84,84,#88Q0QPV0J,6512,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,1,#90GYCPQVY,6487,27000008,9,26000001,14,26000000,14,26000084,14,26000010,13,27000006,14,28000000,12,28000011,6,0,1
85,85,#88Q0QPV0J,6541,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,0,#88V099RCP,6551,26000038,12,26000021,12,26000014,12,28000000,12,26000010,14,26000030,14,27000000,14,28000011,6,1,2
86,86,#88Q0QPV0J,6569,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,0,#20JRLLR9P,6585,26000009,9,26000035,6,28000016,12,26000013,14,26000043,14,26000063,9,26000015,9,28000012,9,1,2
87,87,#88Q0QPV0J,6597,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,0,#2LRL88QJJ,6619,28000000,12,26000021,12,26000010,14,27000000,14,28000011,6,26000031,14,26000014,12,26000038,12,1,2
88,88,#88Q0QPV0J,6564,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,1,#8C9J80L,6599,26000020,9,26000024,14,28000011,6,26000061,6,26000042,6,26000084,14,28000000,12,26000044,9,0,1
89,89,#88Q0QPV0J,6536,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,1,#2RGU9VQ8P,6514,26000060,9,26000039,12,26000043,14,26000033,6,26000042,6,26000027,9,28000008,14,28000002,9,0,1
90,90,#88Q0QPV0J,6563,26000003,12,26000027,9,26000016,9,26000039,12,26000032,6,26000042,6,28000008,14,28000000,12,0,#8RQ8LJRCC,6595,27000013,9,26000058,9,26000046,6,26000047,14,26000043,14,26000062,6,26000050,6,26000026,6,1,2
91,91,#YR0LU2RL,6608,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#LQ2QC8J0,6558,26000085,9,27000012,12,26000027,9,26000015,9,28000007,9,26000023,6,28000012,9,28000015,9,0,1
92,92,#YR0LU2RL,6578,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#20QGGPCRY,6578,26000021,12,26000018,12,26000026,6,26000049,14,26000030,14,26000038,12,28000011,6,28000003,12,0,1
93,93,#YR0LU2RL,6549,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#8JGRJ8PY,6548,28000015,9,26000050,6,26000074,4,28000000,12,26000054,9,28000006,9,26000042,6,26000043,14,0,1
94,94,#YR0LU2RL,6521,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#RUJU9VV,6502,26000003,12,26000027,9,26000072,4,26000005,14,28000017,14,26000012,9,28000010,6,28000001,14,0,1
95,95,#YR0LU2RL,6492,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#2YLYQLY2P,6486,28000005,9,26000011,12,26000037,6,28000012,9,26000034,9,28000010,6,26000023,6,28000015,9,0,1
96,96,#YR0LU2RL,6521,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,0,#2PL88JC2L,6525,26000049,14,28000010,6,26000003,12,26000048,6,26000012,9,26000034,9,28000001,14,28000017,14,1,2
97,97,#YR0LU2RL,6489,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,1,#2RQU2PCQ,6521,28000004,9,26000012,9,26000000,14,26000026,6,27000003,12,26000056,14,28000011,6,26000040,12,0,1
98,98,#YR0LU2RL,6457,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,2,#28VURQURR,6486,26000009,9,27000007,12,26000035,6,26000012,9,26000046,6,26000063,9,26000015,9,28000012,8,1,1
99,99,#YR0LU2RL,6483,27000007,12,26000028,12,28000006,9,28000016,11,26000038,12,26000043,14,26000050,6,28000011,6,0,#8QU8C8PUP,6519,28000010,6,27000010,12,26000005,14,28000008,14,26000004,9,26000027,9,26000042,6,28000000,12,1,2
